SourceFile,FileName,FileSize,FileType,MIMEType,ImageWidth,ImageHeight,Make,Model,Software,DateTimeOriginal,CreateDate,ModifyDate
01_original_usb.JPG,01_original_usb.JPG,5.0 MB,JPEG,image/jpeg,4032,3024,Sony,XQ-AS52,58.2.A.10.126_0_0,2026:06:05 10:51:30,2026:06:05 10:51:30,2026:06:05 10:51:30
02_gmail.jpg,02_gmail.jpg,5.0 MB,JPEG,image/jpeg,4032,3024,Sony,XQ-AS52,58.2.A.10.126_0_0,2026:06:05 10:51:30,2026:06:05 10:51:30,2026:06:05 10:51:30
03_protonmail.jpg,03_protonmail.jpg,5.0 MB,JPEG,image/jpeg,4032,3024,Sony,XQ-AS52,58.2.A.10.126_0_0,2026:06:05 10:51:30,2026:06:05 10:51:30,2026:06:05 10:51:30
04_telegram.jpg,04_telegram.jpg,225 kB,JPEG,image/jpeg,960,1280,,,,,,
05_discord.jpg,05_discord.jpg,664 kB,JPEG,image/jpeg,3024,4032,,,,,,
06_whatsapp.jpeg,06_whatsapp.jpeg,369 kB,JPEG,image/jpeg,1512,2016,,,,,,
